Edad,Sexo,"Nombre del anuncio","Estado de la entrega","Nivel de la entrega",Alcance,Impresiones,Frecuencia,"Configuración de atribución","Tipo de resultado",Resultados,"Importe gastado (USD)","Coste por resultado",Inicio,Fin,"CTR (todos)","CPM (coste por 1000 impresiones)","CPC (Coste por clic en el enlace)","Clics en el enlace",Visualizaciones,"Coste por interacción con la publicación","Tasa de resultados","Clics (todos)","CPC (todos)","Inicio del informe","Fin del informe"
45-54,male,"Arizon.ai 03 - Humberto El Redmi Note 15",not_delivering,ad,15648,32279,2.06281953,"7 días después del clic o 1 día después de la visualización","Conversaciones con mensajes iniciadas",538,51.36,0.09546468,2026-01-15,2026-01-31,5.21701416,1.59112736,0.04891429,1050,,0.00359739,1.6667183,1684,0.03049881,2025-12-01,2026-01-31
55-64,male,"Arizon.ai 03 - Humberto El Redmi Note 15",not_delivering,ad,10925,23915,2.18901602,"7 días después del clic o 1 día después de la visualización","Conversaciones con mensajes iniciadas",556,48.11,0.08652878,2026-01-15,2026-01-31,6.13004391,2.01170813,0.05011458,960,,0.00399585,2.32490069,1466,0.03281719,2025-12-01,2026-01-31
45-54,female,"Arizon.ai 03 - Humberto El Redmi Note 15",not_delivering,ad,11895,22989,1.93266078,"7 días después del clic o 1 día después de la visualización","Conversaciones con mensajes iniciadas",368,39.88,0.10836957,2026-01-15,2026-01-31,7.33394232,1.7347427,0.04387239,909,,0.00390024,1.60076558,1686,0.02365362,2025-12-01,2026-01-31
35-44,male,"Arizon.ai 03 - Humberto El Redmi Note 15",not_delivering,ad,13183,27326,2.07282106,"7 días después del clic o 1 día después de la visualización","Conversaciones con mensajes iniciadas",286,36.74,0.12846154,2026-01-15,2026-01-31,4.0950011,1.34450706,0.05925806,620,,0.00373678,1.04662226,1119,0.03283289,2025-12-01,2026-01-31
55-64,female,"Arizon.ai 03 - Humberto El Redmi Note 15",not_delivering,ad,7636,15606,2.04374018,"7 días después del clic o 1 día después de la visualización","Conversaciones con mensajes iniciadas",341,32.61,0.0956305,2026-01-15,2026-01-31,8.43265411,2.08958093,0.04246094,768,,0.00419907,2.18505703,1316,0.02477964,2025-12-01,2026-01-31
35-44,female,"Arizon.ai 03 - Humberto El Redmi Note 15",not_delivering,ad,10640,23231,2.18336466,"7 días después del clic o 1 día después de la visualización","Conversaciones con mensajes iniciadas",278,32.54,0.11705036,2026-01-15,2026-01-31,5.88007404,1.40071456,0.04576653,711,,0.00392143,1.19667685,1366,0.02382138,2025-12-01,2026-01-31
45-54,male,"Reel Redmi Note 15 Pro 5 G",not_delivering,ad,7417,16254,2.19145207,"7 días después del clic o 1 día después de la visualización","Conversaciones con mensajes iniciadas",197,31.18,0.15827411,2026-01-15,2026-01-29,4.05438661,1.91829703,0.09961661,313,,0.00512155,1.21200935,659,0.04731411,2025-12-01,2026-01-31
55-64,male,"Reel Redmi Note 15 Pro 5 G",not_delivering,ad,4224,10148,2.40246212,"7 días después del clic o 1 día después de la visualización","Conversaciones con mensajes iniciadas",136,27.08,0.19911765,2026-01-15,2026-01-29,4.28655893,2.66850611,0.11773913,230,,0.00685049,1.34016555,435,0.06225287,2025-12-01,2026-01-31
65+,male,"Arizon.ai 03 - Humberto El Redmi Note 15",not_delivering,ad,4507,10085,2.23763035,"7 días después del clic o 1 día después de la visualización","Conversaciones con mensajes iniciadas",314,25.69,0.08181529,2026-01-15,2026-01-31,7.65493307,2.54734755,0.0484717,530,,0.00473112,3.11353495,772,0.0332772,2025-12-01,2026-01-31
35-44,male,"Reel Redmi Note 15 Pro 5 G",not_delivering,ad,9173,20542,2.23939823,"7 días después del clic o 1 día después de la visualización","Conversaciones con mensajes iniciadas",136,24.8,0.18235294,2026-01-15,2026-01-29,2.75046247,1.20728264,0.11376147,218,,0.00440263,0.66205822,565,0.04389381,2025-12-01,2026-01-31
35-44,female,"Publicación de Instagram: ✨ ¡NUEVA TIENDA, NUEVAS...",not_delivering,ad,13487,26237,1.94535479,"7 días después del clic o 1 día después de la visualización","Visitas al perfil de Instagram",1367,24.34,0.01780541,2025-12-20,"En curso",3.73137173,0.92769753,0.02592119,939,,0.02052277,5.21019934,979,0.0248621,2025-12-01,2026-01-31
25-34,male,"Lista 15/01 Arizon.ai - Ad Advantage +",not_delivering,ad,10994,29644,2.69637984,"7 días después del clic o 1 día después de la visualización","Conversaciones con mensajes iniciadas",92,24.32,0.26434783,2026-01-15,2026-01-22,5.60653083,0.8204021,0.03903692,623,,0.00467692,0.31034948,1662,0.01463297,2025-12-01,2026-01-31
25-34,male,"Carrusel Tecno - campaña de Interacción",not_delivering,ad,64800,122813,1.89526235,"7 días después del clic o 1 día después de la visualización","Interacciones con publicación",3391,23.32,0.00687703,2026-01-04,2026-01-11,1.89882179,0.18988218,0.03005155,776,,0.00687703,2.76110835,2332,0.01,2025-12-01,2026-01-31
45-54,female,"Reel Redmi Note 15 Pro 5 G",not_delivering,ad,4929,10833,2.19780889,"7 días después del clic o 1 día después de la visualización","Conversaciones con mensajes iniciadas",120,23.17,0.19308333,2026-01-15,2026-01-29,4.12628081,2.13883504,0.10929245,212,,0.0058822,1.10772639,447,0.05183445,2025-12-01,2026-01-31
35-44,female,"Reel Redmi Note 15 Pro 5 G",not_delivering,ad,7118,15551,2.18474291,"7 días después del clic o 1 día después de la visualización","Conversaciones con mensajes iniciadas",109,22.84,0.20954128,2026-01-15,2026-01-29,3.17664459,1.46871584,0.11834197,193,,0.00503416,0.70091956,494,0.04623482,2025-12-01,2026-01-31
25-34,female,"Publicación de Instagram: ⚠️ PRECIOS POR TIEMPO...",not_delivering,ad,75780,124697,1.64551333,"7 días después del clic o 1 día después de la visualización","Visitas al perfil de Instagram",5971,22.37,0.00374644,2026-01-04,2026-01-10,3.2542884,0.17939485,0.00541909,4128,,0.00495899,4.7884071,4058,0.00551257,2025-12-01,2026-01-31
25-34,male,"Publicación de Instagram: ⚠️ PRECIOS POR TIEMPO...",not_delivering,ad,25235,42202,1.67235982,"7 días después del clic o 1 día después de la visualización","Visitas al perfil de Instagram",4053,22.3,0.0055021,2025-12-19,2025-12-25,4.24150514,0.52841098,0.01221918,1825,,0.01153647,9.60381025,1790,0.0124581,2025-12-01,2026-01-31
25-34,male,"Lista 22/01/2015",not_delivering,ad,8416,20553,2.44213403,"7 días después del clic o 1 día después de la visualización","Conversaciones con mensajes iniciadas",57,22.24,0.39017544,2026-01-21,2026-01-31,6.30078334,1.08208047,0.05112644,435,,0.00510795,0.27733178,1295,0.01717375,2025-12-01,2026-01-31
25-34,female,"Publicación de Instagram: ✨ ¡NUEVA TIENDA, NUEVAS...",not_delivering,ad,14880,30649,2.05974462,"7 días después del clic o 1 día después de la visualización","Visitas al perfil de Instagram",1531,21.84,0.01426519,2025-12-20,"En curso",3.03435675,0.71258442,0.024,910,,0.01890909,4.99526901,930,0.02348387,2025-12-01,2026-01-31
25-34,male,"Reel Redmi Note 15 Pro 5 G",not_delivering,ad,9661,21785,2.25494255,"7 días después del clic o 1 día después de la visualización","Conversaciones con mensajes iniciadas",83,21.56,0.25975904,2026-01-15,2026-01-29,2.42368602,0.98967179,0.1105641,195,,0.00469512,0.3809961,528,0.04083333,2025-12-01,2026-01-31
25-34,male,"Publicación de Instagram: ⚠️ PRECIOS POR TIEMPO...",not_delivering,ad,23899,40622,1.69973639,"7 días después del clic o 1 día después de la visualización","Visitas al perfil de Instagram",4181,20.49,0.00490074,2025-12-05,2025-12-11,4.68711536,0.50440648,0.01054555,1943,,0.01011352,10.29245237,1904,0.01076155,2025-12-01,2026-01-31
18-24,female,"iPhone 14 Black Friday",not_delivering,ad,27912,47011,1.68425767,"7 días después del clic o 1 día después de la visualización","Interacciones con publicación",1609,19.55,0.0121504,2025-11-25,"En curso",2.37391249,0.41586012,0.12142857,161,,0.0121504,3.42260322,1116,0.01751792,2025-12-01,2026-01-31
18-24,male,"Carrusel Tecno - campaña de Interacción",not_delivering,ad,45337,88171,1.94479123,"7 días después del clic o 1 día después de la visualización","Interacciones con publicación",2787,18.86,0.00676713,2026-01-04,2026-01-11,2.29553935,0.21390253,0.03810101,495,,0.00676713,3.16090324,2024,0.00931818,2025-12-01,2026-01-31
18-24,female,"Compac N4020 14'' Black Friday",not_delivering,ad,21293,45598,2.14145494,"7 días después del clic o 1 día después de la visualización","Interacciones con publicación",1609,18.77,0.01166563,2025-11-25,"En curso",3.19531558,0.41164086,0.20626374,91,,0.01166563,3.52866354,1457,0.01288264,2025-12-01,2026-01-31
25-34,male,"Arizon.ai 03 - Humberto El Redmi Note 15",not_delivering,ad,7872,15611,1.98310467,"7 días después del clic o 1 día después de la visualización","Conversaciones con mensajes iniciadas",99,18.57,0.18757576,2026-01-15,2026-01-31,3.59361988,1.18954583,0.06929104,268,,0.00380455,0.63416821,561,0.0331016,2025-12-01,2026-01-31
25-34,female,"Lista 15/01 Arizon.ai - Ad Advantage +",not_delivering,ad,7354,18719,2.54541746,"7 días después del clic o 1 día después de la visualización","Conversaciones con mensajes iniciadas",81,18.52,0.22864198,2026-01-15,2026-01-22,6.11677974,0.98936909,0.03787321,489,,0.00532031,0.43271542,1145,0.01617467,2025-12-01,2026-01-31
45-54,female,"Publicación de Instagram: ✨ ¡NUEVA TIENDA, NUEVAS...",not_delivering,ad,9624,17110,1.77784705,"7 días después del clic o 1 día después de la visualización","Visitas al perfil de Instagram",738,18.41,0.0249458,2025-12-20,"En curso",3.64699006,1.07597896,0.03201739,575,,0.0235422,4.3132671,624,0.02950321,2025-12-01,2026-01-31
25-34,male,"Compac N4020 14'' Black Friday",not_delivering,ad,21426,38260,1.78568095,"7 días después del clic o 1 día después de la visualización","Interacciones con publicación",1555,18.34,0.01179421,2025-11-25,"En curso",3.3350758,0.4793518,0.07547325,243,,0.01179421,4.06429692,1276,0.01437304,2025-12-01,2026-01-31
25-34,male,"Arizon.ai 06 - A Guarenas",not_delivering,ad,6106,13637,2.23337701,"7 días después del clic o 1 día después de la visualización","Conversaciones con mensajes iniciadas",43,18.3,0.4255814,2026-01-16,2026-01-23,2.58854587,1.34193738,0.19891304,92,,0.00651477,0.31531862,353,0.05184136,2025-12-01,2026-01-31
